"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 08 16:48:25 UTC 2026","Sun Mar 08 16:48:25 UTC 2026","946","tests.sanity","test_negative_login","","","","test_negative_login[chromium-invaliduser@hospital.com-Admin@Password123-Invalid credentials]","
    Test negative login scenarios for the hospital portal.
    
    This test validates that invalid credentials result in the expected error message.
    It covers various edge cases including:
    - Empty fields
    - Whitespace inputs
    - Invalid email formats
    - SQL injection attempts
    - XSS attempts
    - Special characters
    - Extremely long inputs
    - Incorrect credential combinations
    
    Args:
        login_page: Fixture that provides initialized LoginPage with browser context
        username: The username to attempt login with
        password: The password to attempt login with
        expected_error: The expected error message ""Invalid credentials""
    "
"passed","Sun Mar 08 16:48:22 UTC 2026","Sun Mar 08 16:48:23 UTC 2026","946","tests.sanity","test_negative_login","","","","test_negative_login[chromium-user@hospital.com-aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-Invalid credentials]","
    Test negative login scenarios for the hospital portal.
    
    This test validates that invalid credentials result in the expected error message.
    It covers various edge cases including:
    - Empty fields
    - Whitespace inputs
    - Invalid email formats
    - SQL injection attempts
    - XSS attempts
    - Special characters
    - Extremely long inputs
    - Incorrect credential combinations
    
    Args:
        login_page: Fixture that provides initialized LoginPage with browser context
        username: The username to attempt login with
        password: The password to attempt login with
        expected_error: The expected error message ""Invalid credentials""
    "
"passed","Sun Mar 08 16:48:12 UTC 2026","Sun Mar 08 16:48:13 UTC 2026","943","tests.sanity","test_negative_login","","","","test_negative_login[chromium-user@hospital.com-   -Invalid credentials]","
    Test negative login scenarios for the hospital portal.
    
    This test validates that invalid credentials result in the expected error message.
    It covers various edge cases including:
    - Empty fields
    - Whitespace inputs
    - Invalid email formats
    - SQL injection attempts
    - XSS attempts
    - Special characters
    - Extremely long inputs
    - Incorrect credential combinations
    
    Args:
        login_page: Fixture that provides initialized LoginPage with browser context
        username: The username to attempt login with
        password: The password to attempt login with
        expected_error: The expected error message ""Invalid credentials""
    "
"passed","Sun Mar 08 16:48:09 UTC 2026","Sun Mar 08 16:48:10 UTC 2026","946","tests.sanity","test_negative_login","","","","test_negative_login[chromium--Password@123-Invalid credentials]","
    Test negative login scenarios for the hospital portal.
    
    This test validates that invalid credentials result in the expected error message.
    It covers various edge cases including:
    - Empty fields
    - Whitespace inputs
    - Invalid email formats
    - SQL injection attempts
    - XSS attempts
    - Special characters
    - Extremely long inputs
    - Incorrect credential combinations
    
    Args:
        login_page: Fixture that provides initialized LoginPage with browser context
        username: The username to attempt login with
        password: The password to attempt login with
        expected_error: The expected error message ""Invalid credentials""
    "
"passed","Sun Mar 08 16:48:28 UTC 2026","Sun Mar 08 16:48:29 UTC 2026","946","tests.sanity","test_negative_login","","","","test_negative_login[chromium-admin@hospital.com-password@123-Invalid credentials]","
    Test negative login scenarios for the hospital portal.
    
    This test validates that invalid credentials result in the expected error message.
    It covers various edge cases including:
    - Empty fields
    - Whitespace inputs
    - Invalid email formats
    - SQL injection attempts
    - XSS attempts
    - Special characters
    - Extremely long inputs
    - Incorrect credential combinations
    
    Args:
        login_page: Fixture that provides initialized LoginPage with browser context
        username: The username to attempt login with
        password: The password to attempt login with
        expected_error: The expected error message ""Invalid credentials""
    "
"passed","Sun Mar 08 15:41:38 UTC 2026","Sun Mar 08 15:41:49 UTC 2026","11042","tests.smoke","test_smoke","","","","test_smoke_flow",""
"passed","Sun Mar 08 16:48:00 UTC 2026","Sun Mar 08 16:48:09 UTC 2026","9015","tests.smoke","test_smoke","","","","test_smoke_flow[chromium]",""
"passed","Sun Mar 08 16:48:18 UTC 2026","Sun Mar 08 16:48:19 UTC 2026","947","tests.sanity","test_negative_login","","","","test_negative_login[chromium-<script>alert('xss')</script>-Password@123-Invalid credentials]","
    Test negative login scenarios for the hospital portal.
    
    This test validates that invalid credentials result in the expected error message.
    It covers various edge cases including:
    - Empty fields
    - Whitespace inputs
    - Invalid email formats
    - SQL injection attempts
    - XSS attempts
    - Special characters
    - Extremely long inputs
    - Incorrect credential combinations
    
    Args:
        login_page: Fixture that provides initialized LoginPage with browser context
        username: The username to attempt login with
        password: The password to attempt login with
        expected_error: The expected error message ""Invalid credentials""
    "
"passed","Sun Mar 08 16:48:20 UTC 2026","Sun Mar 08 16:48:21 UTC 2026","950","tests.sanity","test_negative_login","","","","test_negative_login[chromium-user@#$%^&*()hospital.com-Password@123-Invalid credentials]","
    Test negative login scenarios for the hospital portal.
    
    This test validates that invalid credentials result in the expected error message.
    It covers various edge cases including:
    - Empty fields
    - Whitespace inputs
    - Invalid email formats
    - SQL injection attempts
    - XSS attempts
    - Special characters
    - Extremely long inputs
    - Incorrect credential combinations
    
    Args:
        login_page: Fixture that provides initialized LoginPage with browser context
        username: The username to attempt login with
        password: The password to attempt login with
        expected_error: The expected error message ""Invalid credentials""
    "
"passed","Sun Mar 08 16:48:26 UTC 2026","Sun Mar 08 16:48:27 UTC 2026","949","tests.sanity","test_negative_login","","","","test_negative_login[chromium-Password@123-user@hospital.com-Invalid credentials]","
    Test negative login scenarios for the hospital portal.
    
    This test validates that invalid credentials result in the expected error message.
    It covers various edge cases including:
    - Empty fields
    - Whitespace inputs
    - Invalid email formats
    - SQL injection attempts
    - XSS attempts
    - Special characters
    - Extremely long inputs
    - Incorrect credential combinations
    
    Args:
        login_page: Fixture that provides initialized LoginPage with browser context
        username: The username to attempt login with
        password: The password to attempt login with
        expected_error: The expected error message ""Invalid credentials""
    "
